,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,541jTq3SOEELKvcfA0jHI0,The Way You Make Me Feel,Michael Jackson,['Michael Jackson'],0.608,0.816,1,-5.926,1,0.0367,0.000554,0.116,0.507,114.484,297400,4
1,0utckWY4eeZAfNL3LCiGdy,Main Chahta hun,Swastik The Band,['Swastik The Band'],0.602,0.564,4,-6.164,0,0.381,0.132,0.118,0.189,129.973,349922,4
2,3FTRSa9mWB3kKx2jkhUAN3,Tum Jab Paas,Prateek Kuhad,['Prateek Kuhad'],0.751,0.344,6,-7.712,1,0.528,1.62e-06,0.113,0.471,122.1,235932,3
3,1gWtHDe403RuyZqhvSRcv8,Tune Kaha,Prateek Kuhad,['Prateek Kuhad'],0.362,0.763,3,-8.514,1,0.015,0.00481,0.237,0.431,187.291,216886,4
4,4kXkT9HF9ZfDjuv3LIKcwJ,"Dil Beparvah - The Dewarists, Season 5",Ankur Tewari,"['Ankur Tewari', 'Prateek Kuhad', 'Dhruv Bhola', 'Nikhil Vasudevan']",0.762,0.391,1,-11.735,1,0.867,0.000521,0.112,0.355,137.956,250000,3
5,5VSJ9OfZx8V91A7u8Fuoh1,Aaoge Tum Kabhi,The Local Train,['The Local Train'],0.534,0.863,0,-4.616,1,0.0152,0.0167,0.144,0.374,98.006,313163,4
6,1xaj4bm3GMthtoZHUfepl1,Ye Tumhari Meri Baatein,Dominique,['Dominique'],0.351,0.552,5,-7.404,1,0.393,0.000494,0.112,0.319,87.769,324058,4
7,3APdIdF8H0jsxSuGOqXedS,Kabhi Kabhi Aditi,Rashid Ali,['Rashid Ali'],0.791,0.558,7,-7.155,0,0.276,0.0,0.0859,0.872,95.077,218836,4
8,4w90JoFrkoYfxe4S8DWD7T,"Jaane Kyun (From ""Dostana"")",Vishal-Shekhar,"['Vishal-Shekhar', 'Vishal Dadlani']",0.778,0.812,4,-8.561,0,0.0573,8.28e-06,0.243,0.791,99.962,277987,4
9,2qgXrzJsry4KgYoJCpuaul,Choo Lo,The Local Train,['The Local Train'],0.512,0.695,4,-6.349,1,0.0265,0.00815,0.146,0.351,145.957,233630,4
10,64RkEV5b7bG697vhIPMlrl,Sage,Ritviz,['Ritviz'],0.663,0.412,5,-8.195,0,0.00434,0.0189,0.215,0.356,98.025,230204,4
11,5cJJdUtacwBrphoMjh3tKG,Believe,When Chai Met Toast,['When Chai Met Toast'],0.25,0.618,2,-7.705,1,0.16,0.0169,0.109,0.12,66.632,236700,4
12,4PShfgy75bCYTWb6hNEMPe,Buniyaad,The Yellow Diary,['The Yellow Diary'],0.476,0.481,6,-9.441,0,0.733,0.123,0.0504,0.152,130.031,256000,4
