,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,5mEMOGsjp1Jhn2l0Yt1p3V,Savan,Vilen,['Vilen'],0.609,0.401,4,-12.281,1,0.53,0.0235,0.716,0.373,79.986,233273,4
1,4NEdR5Yo8D2KwL7Y9KW7EH,Mere Gully Mein (feat. Naezy),DIVINE,"['DIVINE', 'Naezy']",0.744,0.813,9,-7.401,1,0.000514,0.0,0.0685,0.149,108.056,182934,4
2,5b4bjAPxGu2yS2b8IQpY39,Tu Na Mera,Arjun Kanungo,['Arjun Kanungo'],0.46,0.562,1,-6.83,1,0.832,2.02e-05,0.122,0.463,84.02,221020,4
3,0TK4vDFDlDH1B5j4NrDZBB,Bey Pinjara,Ankit Tiwari,['Ankit Tiwari'],0.631,0.5,5,-9.573,1,0.622,0.0,0.551,0.635,102.148,198334,4
4,2qgXrzJsry4KgYoJCpuaul,Choo Lo,The Local Train,['The Local Train'],0.512,0.695,4,-6.349,1,0.0265,0.00815,0.146,0.351,145.957,233630,4
5,0mHsQ8g61NIao1qGgnkOm1,Ravan,VILEN,['VILEN'],0.697,0.699,10,-5.425,0,0.0499,0.0,0.0961,0.328,120.033,241766,4
6,4yvrKVY7V0a3pLbNUFbaN4,Shaktimaan,Seedhe Maut,"['Seedhe Maut', 'Sez on the Beat']",0.819,0.439,11,-7.316,1,0.0561,0.0,0.136,0.411,134.874,185778,4
7,6q8SiNY4DgtWLLVFHdbU3t,Jeet 2.0,Ritviz,['Ritviz'],0.683,0.44,0,-7.08,1,0.418,0.0,0.438,0.83,99.05,186667,4
8,6l1VsKiMyaUWElFrM1rsuu,Saansein,Prateek Kuhad,['Prateek Kuhad'],0.693,0.518,1,-9.146,1,0.653,0.531,0.138,0.374,128.041,266042,4
9,6q7bXTv3yBedHblKRoC5uu,Kadam,Prateek Kuhad,['Prateek Kuhad'],0.55,0.356,9,-14.142,1,0.637,0.187,0.32,0.343,159.911,214604,3
10,4LtSTc3xANVhYeeN69nscM,Aaftaab,The Local Train,['The Local Train'],0.464,0.391,6,-9.884,1,0.755,9.64e-05,0.105,0.418,106.877,233472,4
11,64RkEV5b7bG697vhIPMlrl,Sage,Ritviz,['Ritviz'],0.663,0.412,5,-8.195,0,0.00434,0.0189,0.215,0.356,98.025,230204,4
12,6rfahvufEQDIVTHJIU2QQB,"For Aisha (Featured in ""The Sky Is Pink"")",MEMBA,"['MEMBA', 'EVAN GIIA', 'Nooran Sisters']",0.568,0.622,4,-6.548,1,0.063,0.0018,0.56,0.109,76.984,357931,4
13,2jHicGSFIXm8dUdGz2wwzx,Ek Raat,Vilen,['Vilen'],0.645,0.534,4,-5.428,0,0.147,4.3e-06,0.0858,0.303,90.025,224040,4
14,28166J872GRW8blR3FL6nb,Kaun Hai Tu,Shah Rule,"['Shah Rule', 'Raja Kumari']",0.741,0.439,1,-5.609,1,0.406,0.0,0.104,0.416,80.245,198030,4
15,6xzQ1uSk2Rzz6Xdf8xBnWn,City Slums (feat. DIVINE),Raja Kumari,"['Raja Kumari', 'DIVINE']",0.777,0.796,5,-3.528,1,0.00387,1.24e-05,0.0852,0.768,166.97,227990,4
16,1C9DajYq19423BwN85bNf0,Marijuana,Shamoon Ismail,['Shamoon Ismail'],0.686,0.566,4,-11.567,1,0.159,0.0221,0.104,0.698,94.977,186986,4
17,5UHvVfewZKxwoB6gdhSFtr,Monta Re,Swanand Kirkire,"['Swanand Kirkire', 'Amitabh Bhattacharya']",0.718,0.295,4,-11.098,1,0.918,0.00454,0.0954,0.751,150.054,237614,3
18,6ZmtxXUXRVjxOhugKkmerC,Dil Mere,The Local Train,['The Local Train'],0.655,0.473,8,-9.806,1,0.842,0.0323,0.167,0.572,92.962,211290,4
19,5eR1O5GNIN7kTtfxgg2NFh,Maya,Prabh Deep,"['Prabh Deep', 'Hashbass', 'Archit Anand']",0.852,0.625,9,-4.747,0,0.39,5.1e-05,0.109,0.641,140.003,274424,4
20,6Qg7dDHVr6jir9LfnMdnBR,Mann Basiya,Dehlvees,['Dehlvees'],0.575,0.549,4,-8.625,1,0.0587,0.234,0.122,0.216,105.035,383004,4
21,6AEmKrAzWol14hrgbSjgq2,Mahira,Dehlvees,['Dehlvees'],0.595,0.574,9,-7.5,1,0.379,0.0413,0.102,0.326,127.958,297290,4
22,1lIYP8fDGGnp91OMTUnwjV,Waqt Ki Baatein,Dream Note,['Dream Note'],0.555,0.205,4,-16.452,1,0.916,0.056,0.112,0.216,145.004,243310,3
23,0TkYij6j4QzpB7MHgFdMeP,Pagal Hai Kya,Fotty Seven,['Fotty Seven'],0.892,0.732,1,-6.158,1,0.0993,0.0,0.0792,0.766,139.986,182742,4
24,4QK1qv4mgsfdWmMzp1Z3fx,Khoj (Passing By),When Chai Met Toast,['When Chai Met Toast'],0.58,0.636,2,-6.649,1,0.191,0.0313,0.0915,0.38,105.037,212572,3
25,4QK1qv4mgsfdWmMzp1Z3fx,Khoj (Passing By),When Chai Met Toast,['When Chai Met Toast'],0.58,0.636,2,-6.649,1,0.191,0.0313,0.0915,0.38,105.037,212572,3
26,4BKlZ0UQOjombKzFFkgSlm,Mila Hai Jabse Tu,Ashwin Adwani,['Ashwin Adwani'],0.714,0.405,1,-11.358,0,0.819,1.04e-05,0.0884,0.441,119.958,200266,4
27,0utckWY4eeZAfNL3LCiGdy,Main Chahta hun,Swastik The Band,['Swastik The Band'],0.602,0.564,4,-6.164,0,0.381,0.132,0.118,0.189,129.973,349922,4
28,6Kynli1iHBqJRWUCohcV9h,Kaam 25 - Sacred Games,DIVINE,['DIVINE'],0.484,0.948,1,-4.296,0,0.0473,0.0,0.0565,0.686,125.645,149525,5
29,5VSJ9OfZx8V91A7u8Fuoh1,Aaoge Tum Kabhi,The Local Train,['The Local Train'],0.534,0.863,0,-4.616,1,0.0152,0.0167,0.144,0.374,98.006,313163,4
30,5iCY0TXNImK4hyKfcplQsg,Baarishein,Anuv Jain,['Anuv Jain'],0.475,0.124,2,-9.463,1,0.926,0.0,0.0972,0.19,94.42,207310,4
31,3Gc4zbfvgZSBEfpd0aWEFb,Khudi,The Local Train,['The Local Train'],0.626,0.791,3,-6.502,1,0.0196,9.08e-05,0.106,0.538,127.037,297643,4
32,6nZiYSBwPQ7fYnVWkkkj4g,Kho Gaye Hum Kahan,Jasleen Royal,"['Jasleen Royal', 'Prateek Kuhad']",0.778,0.227,1,-16.191,1,0.983,0.14,0.113,0.38,116.033,213056,4
33,4kXkT9HF9ZfDjuv3LIKcwJ,"Dil Beparvah - The Dewarists, Season 5",Ankur Tewari,"['Ankur Tewari', 'Prateek Kuhad', 'Dhruv Bhola', 'Nikhil Vasudevan']",0.762,0.391,1,-11.735,1,0.867,0.000521,0.112,0.355,137.956,250000,3
34,6JHm7Da8ZX0KA5xZhXiaB2,Lost Without You,Ami Mishra,"['Ami Mishra', 'Anushka Shahaney']",0.543,0.723,1,-5.326,0,0.466,0.0,0.0738,0.292,145.779,336037,4
