,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,5imfeeK84IEoXy3f4JKxdB,Wild,The Japanese House,['The Japanese House'],0.566,0.453,1,-9.157,0,0.544,0.00927,0.113,0.172,129.97,223320,4
1,3Ri5PVHQ3VacOyPT4Pij62,SAYONARA,Aries,['Aries'],0.548,0.63,5,-6.1,1,0.0111,0.000721,0.128,0.338,75.972,180789,4
2,6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,Kendrick Lamar,"['Kendrick Lamar', 'Zacari']",0.8,0.585,10,-7.343,1,0.264,0.0,0.153,0.779,126.058,213400,4
3,4RoArPM0AsuW3h8hW8xtnr,Lucky Strike,Troye Sivan,['Troye Sivan'],0.612,0.694,2,-7.363,1,0.579,0.0,0.0914,0.564,103.031,208967,4
4,0sP7R1Iue2uaVE9HNzgSID,Teeth,The Japanese House,['The Japanese House'],0.371,0.377,4,-9.979,1,0.694,0.5,0.0986,0.111,126.745,236438,4
5,2tk2r9eULnbd7OT9PDFfg6,Tigerblood,Vistas,['Vistas'],0.43,0.882,2,-4.305,1,0.000103,3.68e-06,0.138,0.448,170.023,200709,4
6,2DSsf1Ak5hzpM2sPlZsGMG,set u off (365),underscores,['underscores'],0.75,0.413,8,-7.858,0,0.376,0.00321,0.263,0.541,93.791,246157,4
7,3Xuhi20r1A2FGQHAisL551,Voices,Flume,"['Flume', 'SOPHIE', 'KUČKA']",0.567,0.758,9,-3.998,1,0.0937,0.00249,0.601,0.242,133.687,114645,4
8,2vIwwTufmg8YfZn5qvzxIg,Clean,The Japanese House,['The Japanese House'],0.443,0.525,2,-8.07,1,0.566,0.000184,0.231,0.171,130.982,299545,4
9,5BqvGsg4foTngD67rNlay1,"Class-Sikh Maut, Vol. II",Prabh Deep,"['Prabh Deep', 'Seedhe Maut', 'Sez on the Beat']",0.855,0.68,8,-8.041,1,0.0601,0.0,0.0417,0.818,129.842,142163,4
10,7p0tz5SeCrSxTLSvwR8W3D,Let You Know,Flume,"['Flume', 'London Grammar']",0.759,0.694,5,-4.075,0,0.0544,0.0,0.131,0.374,117.056,199580,4
11,7COXchtUOMd6uIT6HvmRaI,i'm so tired...,Lauv,"['Lauv', 'Troye Sivan']",0.599,0.733,11,-7.058,1,0.176,0.0,0.242,0.534,102.211,162583,4
12,3RpwjGzgb8QAuOnZbdDZZs,Lilo,The Japanese House,['The Japanese House'],0.546,0.558,7,-8.797,1,0.471,0.0,0.0957,0.22,119.789,250067,4
13,5aMYIxnTTVIGxdey7ULrRL,My Girl,Oshi,['Oshi'],0.371,0.565,8,-8.045,1,0.115,0.0,0.199,0.191,119.299,215300,4
14,2AoWWiMelowkStJoqPMDed,cold/mess,Prateek Kuhad,['Prateek Kuhad'],0.509,0.479,11,-6.601,1,0.285,0.0175,0.167,0.299,145.967,281219,3
15,0AGeiZaDptA2bmbaFdWr9l,Behka Na,Ali Tariq,"['Ali Tariq', 'Harshdeep Kaur']",0.597,0.7,3,-6.321,1,0.338,4.79e-05,0.127,0.228,114.03,263684,4
16,2NLuFrdfo1i9O82AiRBwT9,Cool Blue,The Japanese House,['The Japanese House'],0.383,0.569,0,-10.407,1,0.883,0.106,0.124,0.524,180.036,231364,3
